"Origin","Destination","Airline","Flight_No","Price","Duration"
"JFK (New York)","El Paso","Southwest","TX9185","$266.99","2.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9186","$644.46","3.4h"
"ORD (Chicago)","Corpus Christi","United","TX9187","$533.22","2.4h"
"ATL (Atlanta)","Plano","Delta","TX9188","$579.12","2.5h"
"SFO (San Francisco)","Laredo","JetBlue","TX9189","$264.64","3.3h"
"JFK (New York)","Lubbock","Southwest","TX9190","$504.30","2.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX9191","$414.43","2.2h"
"ORD (Chicago)","Irving","United","TX9192","$406.58","3.1h"
"ATL (Atlanta)","Amarillo","Delta","TX9193","$190.65","4.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9194","$204.83","4.9h"
"JFK (New York)","Brownsville","Southwest","TX9195","$466.34","4.5h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9196","$379.64","2.7h"
"ORD (Chicago)","Frisco","United","TX9197","$568.78","4.6h"
"ATL (Atlanta)","Pasadena","Delta","TX9198","$343.02","4.3h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9199","$484.11","4.8h"
"JFK (New York)","Austin","Southwest","TX9200","$348.04","3.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX9201","$320.07","4.1h"
"ORD (Chicago)","Dallas","United","TX9202","$215.62","4.5h"
"ATL (Atlanta)","San Antonio","Delta","TX9203","$546.57","4.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9204","$345.76","2.2h"
"JFK (New York)","El Paso","Southwest","TX9205","$243.46","5.0h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9206","$533.49","2.4h"
"ORD (Chicago)","Corpus Christi","United","TX9207","$617.06","4.2h"
"ATL (Atlanta)","Plano","Delta","TX9208","$199.84","3.5h"
"SFO (San Francisco)","Laredo","JetBlue","TX9209","$219.56","4.9h"
"JFK (New York)","Lubbock","Southwest","TX9210","$343.37","2.3h"
"LAX (Los Angeles)","Garland","American Airlines","TX9211","$462.38","3.6h"
"ORD (Chicago)","Irving","United","TX9212","$532.82","4.2h"
"ATL (Atlanta)","Amarillo","Delta","TX9213","$347.19","3.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9214","$598.12","2.9h"
"JFK (New York)","Brownsville","Southwest","TX9215","$150.96","4.2h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9216","$327.62","4.5h"
"ORD (Chicago)","Frisco","United","TX9217","$514.55","4.0h"
"ATL (Atlanta)","Pasadena","Delta","TX9218","$308.13","3.1h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9219","$469.60","3.0h"
"JFK (New York)","Austin","Southwest","TX9220","$588.14","3.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX9221","$252.67","2.3h"
"ORD (Chicago)","Dallas","United","TX9222","$597.25","3.1h"
"ATL (Atlanta)","San Antonio","Delta","TX9223","$550.70","3.9h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9224","$430.57","3.4h"
"JFK (New York)","El Paso","Southwest","TX9225","$585.87","2.4h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9226","$464.39","3.7h"
"ORD (Chicago)","Corpus Christi","United","TX9227","$285.82","3.0h"
"ATL (Atlanta)","Plano","Delta","TX9228","$443.76","3.1h"
"SFO (San Francisco)","Laredo","JetBlue","TX9229","$327.02","2.4h"
"JFK (New York)","Lubbock","Southwest","TX9230","$531.28","3.3h"
"LAX (Los Angeles)","Garland","American Airlines","TX9231","$464.94","3.6h"
"ORD (Chicago)","Irving","United","TX9232","$554.81","4.4h"
"ATL (Atlanta)","Amarillo","Delta","TX9233","$330.90","4.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9234","$390.87","4.1h"
"JFK (New York)","Brownsville","Southwest","TX9235","$510.31","3.9h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9236","$505.46","3.7h"
"ORD (Chicago)","Frisco","United","TX9237","$258.65","4.0h"
"ATL (Atlanta)","Pasadena","Delta","TX9238","$165.78","5.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9239","$507.13","3.2h"
"JFK (New York)","Austin","Southwest","TX9240","$280.16","3.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX9241","$202.80","3.1h"
"ORD (Chicago)","Dallas","United","TX9242","$507.55","2.8h"
"ATL (Atlanta)","San Antonio","Delta","TX9243","$215.59","4.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9244","$526.12","4.0h"
"JFK (New York)","El Paso","Southwest","TX9245","$244.11","2.4h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9246","$448.13","4.8h"
"ORD (Chicago)","Corpus Christi","United","TX9247","$159.06","3.6h"
"ATL (Atlanta)","Plano","Delta","TX9248","$487.79","2.3h"
"SFO (San Francisco)","Laredo","JetBlue","TX9249","$452.56","3.3h"
"JFK (New York)","Lubbock","Southwest","TX9250","$247.39","4.1h"
"LAX (Los Angeles)","Garland","American Airlines","TX9251","$223.15","4.1h"
"ORD (Chicago)","Irving","United","TX9252","$159.96","4.0h"
"ATL (Atlanta)","Amarillo","Delta","TX9253","$345.32","4.7h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9254","$364.37","4.8h"
"JFK (New York)","Brownsville","Southwest","TX9255","$541.78","2.4h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9256","$495.92","2.7h"
"ORD (Chicago)","Frisco","United","TX9257","$272.82","2.7h"
"ATL (Atlanta)","Pasadena","Delta","TX9258","$378.90","5.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9259","$315.17","3.1h"
"JFK (New York)","Austin","Southwest","TX9260","$413.36","2.2h"
"LAX (Los Angeles)","Houston","American Airlines","TX9261","$479.64","4.5h"
"ORD (Chicago)","Dallas","United","TX9262","$373.01","4.3h"
"ATL (Atlanta)","San Antonio","Delta","TX9263","$607.73","3.5h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9264","$391.16","2.7h"
"JFK (New York)","El Paso","Southwest","TX9265","$396.75","2.5h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9266","$507.63","4.4h"
"ORD (Chicago)","Corpus Christi","United","TX9267","$504.72","4.8h"
"ATL (Atlanta)","Plano","Delta","TX9268","$531.69","2.5h"
"SFO (San Francisco)","Laredo","JetBlue","TX9269","$320.22","4.8h"
"JFK (New York)","Lubbock","Southwest","TX9270","$507.44","3.9h"
"LAX (Los Angeles)","Garland","American Airlines","TX9271","$415.71","4.5h"
"ORD (Chicago)","Irving","United","TX9272","$462.11","2.7h"
"ATL (Atlanta)","Amarillo","Delta","TX9273","$329.31","3.2h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9274","$259.77","4.2h"
"JFK (New York)","Brownsville","Southwest","TX9275","$200.25","4.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9276","$314.46","2.6h"
"ORD (Chicago)","Frisco","United","TX9277","$163.91","3.3h"
"ATL (Atlanta)","Pasadena","Delta","TX9278","$231.14","4.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9279","$609.65","3.6h"
"JFK (New York)","Austin","Southwest","TX9280","$351.99","4.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX9281","$203.35","3.6h"
"ORD (Chicago)","Dallas","United","TX9282","$172.54","2.7h"
"ATL (Atlanta)","San Antonio","Delta","TX9283","$611.64","4.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9284","$152.87","2.6h"
"JFK (New York)","El Paso","Southwest","TX9285","$418.56","2.2h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9286","$193.19","4.5h"
"ORD (Chicago)","Corpus Christi","United","TX9287","$516.64","3.0h"
"ATL (Atlanta)","Plano","Delta","TX9288","$573.95","3.1h"
"SFO (San Francisco)","Laredo","JetBlue","TX9289","$511.54","4.1h"
"JFK (New York)","Lubbock","Southwest","TX9290","$598.49","4.2h"
"LAX (Los Angeles)","Garland","American Airlines","TX9291","$338.66","3.0h"
"ORD (Chicago)","Irving","United","TX9292","$575.96","4.0h"
"ATL (Atlanta)","Amarillo","Delta","TX9293","$317.71","3.8h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9294","$469.72","4.3h"
"JFK (New York)","Brownsville","Southwest","TX9295","$407.90","2.8h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9296","$173.20","4.6h"
"ORD (Chicago)","Frisco","United","TX9297","$638.96","4.3h"
"ATL (Atlanta)","Pasadena","Delta","TX9298","$311.99","4.4h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9299","$644.07","2.5h"
"JFK (New York)","Austin","Southwest","TX9300","$452.65","2.5h"
"LAX (Los Angeles)","Houston","American Airlines","TX9301","$591.22","4.0h"
"ORD (Chicago)","Dallas","United","TX9302","$640.35","3.1h"
"ATL (Atlanta)","San Antonio","Delta","TX9303","$537.95","2.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9304","$480.99","2.2h"
"JFK (New York)","El Paso","Southwest","TX9305","$450.00","4.8h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9306","$335.66","2.7h"
"ORD (Chicago)","Corpus Christi","United","TX9307","$186.43","4.8h"
"ATL (Atlanta)","Plano","Delta","TX9308","$430.67","4.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX9309","$357.85","2.2h"
"JFK (New York)","Lubbock","Southwest","TX9310","$291.17","4.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX9311","$560.39","2.3h"
"ORD (Chicago)","Irving","United","TX9312","$492.87","4.5h"
"ATL (Atlanta)","Amarillo","Delta","TX9313","$529.22","4.6h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9314","$641.00","4.0h"
"JFK (New York)","Brownsville","Southwest","TX9315","$197.26","3.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9316","$565.57","2.9h"
"ORD (Chicago)","Frisco","United","TX9317","$394.45","4.6h"
"ATL (Atlanta)","Pasadena","Delta","TX9318","$179.26","4.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9319","$408.75","2.9h"
"JFK (New York)","Austin","Southwest","TX9320","$445.32","3.4h"
"LAX (Los Angeles)","Houston","American Airlines","TX9321","$462.55","2.0h"
"ORD (Chicago)","Dallas","United","TX9322","$579.54","3.0h"
"ATL (Atlanta)","San Antonio","Delta","TX9323","$204.49","3.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9324","$584.71","2.9h"
"JFK (New York)","El Paso","Southwest","TX9325","$195.01","4.0h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9326","$305.99","3.7h"
"ORD (Chicago)","Corpus Christi","United","TX9327","$283.20","3.0h"
"ATL (Atlanta)","Plano","Delta","TX9328","$377.96","4.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX9329","$377.72","4.4h"
"JFK (New York)","Lubbock","Southwest","TX9330","$435.84","3.0h"
"LAX (Los Angeles)","Garland","American Airlines","TX9331","$164.50","4.9h"
"ORD (Chicago)","Irving","United","TX9332","$424.41","4.4h"
"ATL (Atlanta)","Amarillo","Delta","TX9333","$600.37","3.0h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9334","$621.10","4.1h"
"JFK (New York)","Brownsville","Southwest","TX9335","$384.53","5.0h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9336","$456.49","3.1h"
"ORD (Chicago)","Frisco","United","TX9337","$180.52","2.6h"
"ATL (Atlanta)","Pasadena","Delta","TX9338","$245.44","2.5h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9339","$608.27","2.6h"
"JFK (New York)","Austin","Southwest","TX9340","$632.11","2.3h"
"LAX (Los Angeles)","Houston","American Airlines","TX9341","$359.09","4.4h"
"ORD (Chicago)","Dallas","United","TX9342","$561.14","4.5h"
"ATL (Atlanta)","San Antonio","Delta","TX9343","$227.72","4.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9344","$407.67","4.2h"
"JFK (New York)","El Paso","Southwest","TX9345","$612.91","2.2h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9346","$433.20","3.7h"
"ORD (Chicago)","Corpus Christi","United","TX9347","$410.22","3.4h"
"ATL (Atlanta)","Plano","Delta","TX9348","$155.55","4.1h"
"SFO (San Francisco)","Laredo","JetBlue","TX9349","$204.42","3.8h"
"JFK (New York)","Lubbock","Southwest","TX9350","$366.55","4.3h"
"LAX (Los Angeles)","Garland","American Airlines","TX9351","$497.05","3.3h"
"ORD (Chicago)","Irving","United","TX9352","$164.62","2.1h"
"ATL (Atlanta)","Amarillo","Delta","TX9353","$244.39","2.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9354","$549.89","4.0h"
"JFK (New York)","Brownsville","Southwest","TX9355","$527.16","3.2h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9356","$256.56","2.4h"
"ORD (Chicago)","Frisco","United","TX9357","$613.17","4.5h"
"ATL (Atlanta)","Pasadena","Delta","TX9358","$285.74","2.8h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9359","$226.99","4.0h"
"JFK (New York)","Austin","Southwest","TX9360","$584.60","4.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX9361","$163.37","4.1h"
"ORD (Chicago)","Dallas","United","TX9362","$517.26","2.6h"
"ATL (Atlanta)","San Antonio","Delta","TX9363","$467.43","3.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9364","$451.28","2.9h"
"JFK (New York)","El Paso","Southwest","TX9365","$419.75","4.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9366","$168.61","4.2h"
"ORD (Chicago)","Corpus Christi","United","TX9367","$548.43","3.2h"
"ATL (Atlanta)","Plano","Delta","TX9368","$633.20","3.1h"
"SFO (San Francisco)","Laredo","JetBlue","TX9369","$339.85","3.6h"
"JFK (New York)","Lubbock","Southwest","TX9370","$423.37","4.1h"
"LAX (Los Angeles)","Garland","American Airlines","TX9371","$277.08","4.1h"
"ORD (Chicago)","Irving","United","TX9372","$184.32","3.7h"
"ATL (Atlanta)","Amarillo","Delta","TX9373","$296.83","4.3h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9374","$229.09","4.1h"
"JFK (New York)","Brownsville","Southwest","TX9375","$325.57","4.2h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9376","$483.74","3.4h"
"ORD (Chicago)","Frisco","United","TX9377","$171.13","4.2h"
"ATL (Atlanta)","Pasadena","Delta","TX9378","$384.00","2.6h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9379","$409.91","3.1h"
"JFK (New York)","Austin","Southwest","TX9380","$204.08","3.6h"
"LAX (Los Angeles)","Houston","American Airlines","TX9381","$383.59","3.2h"
"ORD (Chicago)","Dallas","United","TX9382","$556.28","3.5h"
"ATL (Atlanta)","San Antonio","Delta","TX9383","$371.08","3.9h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9384","$589.32","2.6h"
"JFK (New York)","El Paso","Southwest","TX9385","$437.33","5.0h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9386","$264.07","2.8h"
"ORD (Chicago)","Corpus Christi","United","TX9387","$641.66","2.6h"
"ATL (Atlanta)","Plano","Delta","TX9388","$493.66","2.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX9389","$373.89","4.2h"
"JFK (New York)","Lubbock","Southwest","TX9390","$315.07","3.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX9391","$295.04","2.8h"
"ORD (Chicago)","Irving","United","TX9392","$347.09","3.0h"
"ATL (Atlanta)","Amarillo","Delta","TX9393","$546.05","2.2h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9394","$634.80","3.0h"
"JFK (New York)","Brownsville","Southwest","TX9395","$583.60","4.7h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9396","$540.48","4.2h"
"ORD (Chicago)","Frisco","United","TX9397","$435.25","2.6h"
"ATL (Atlanta)","Pasadena","Delta","TX9398","$266.48","4.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9399","$548.38","3.6h"
"JFK (New York)","Austin","Southwest","TX9400","$606.13","2.2h"
"LAX (Los Angeles)","Houston","American Airlines","TX9401","$376.27","2.9h"
"ORD (Chicago)","Dallas","United","TX9402","$350.29","3.3h"
"ATL (Atlanta)","San Antonio","Delta","TX9403","$344.83","2.1h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9404","$600.00","3.8h"
"JFK (New York)","El Paso","Southwest","TX9405","$230.91","3.8h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9406","$471.92","2.9h"
"ORD (Chicago)","Corpus Christi","United","TX9407","$574.65","3.9h"
"ATL (Atlanta)","Plano","Delta","TX9408","$290.60","2.3h"
"SFO (San Francisco)","Laredo","JetBlue","TX9409","$459.75","2.7h"
"JFK (New York)","Lubbock","Southwest","TX9410","$521.48","4.5h"
"LAX (Los Angeles)","Garland","American Airlines","TX9411","$190.14","3.7h"
"ORD (Chicago)","Irving","United","TX9412","$579.43","2.0h"
"ATL (Atlanta)","Amarillo","Delta","TX9413","$278.77","4.5h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9414","$480.43","3.3h"
"JFK (New York)","Brownsville","Southwest","TX9415","$228.10","2.4h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9416","$595.71","2.0h"
"ORD (Chicago)","Frisco","United","TX9417","$299.05","4.6h"
"ATL (Atlanta)","Pasadena","Delta","TX9418","$619.56","3.9h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9419","$197.09","3.4h"
"JFK (New York)","Austin","Southwest","TX9420","$643.97","2.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX9421","$391.72","3.3h"
"ORD (Chicago)","Dallas","United","TX9422","$263.10","4.6h"
"ATL (Atlanta)","San Antonio","Delta","TX9423","$531.78","3.9h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9424","$454.48","2.7h"
"JFK (New York)","El Paso","Southwest","TX9425","$534.32","3.1h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9426","$567.07","4.6h"
"ORD (Chicago)","Corpus Christi","United","TX9427","$429.06","4.8h"
"ATL (Atlanta)","Plano","Delta","TX9428","$409.34","4.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX9429","$528.64","4.0h"
"JFK (New York)","Lubbock","Southwest","TX9430","$251.21","3.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX9431","$407.49","2.6h"
"ORD (Chicago)","Irving","United","TX9432","$187.73","3.6h"
"ATL (Atlanta)","Amarillo","Delta","TX9433","$355.55","2.7h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9434","$534.08","3.0h"
"JFK (New York)","Brownsville","Southwest","TX9435","$304.70","3.1h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9436","$560.09","3.9h"
"ORD (Chicago)","Frisco","United","TX9437","$570.45","4.3h"
"ATL (Atlanta)","Pasadena","Delta","TX9438","$286.15","4.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9439","$529.56","4.5h"
"JFK (New York)","Austin","Southwest","TX9440","$542.75","3.8h"
"LAX (Los Angeles)","Houston","American Airlines","TX9441","$224.38","2.1h"
"ORD (Chicago)","Dallas","United","TX9442","$305.02","2.3h"
"ATL (Atlanta)","San Antonio","Delta","TX9443","$208.36","4.9h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9444","$312.22","2.8h"
"JFK (New York)","El Paso","Southwest","TX9445","$587.15","3.8h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9446","$432.38","4.6h"
"ORD (Chicago)","Corpus Christi","United","TX9447","$193.32","4.3h"
"ATL (Atlanta)","Plano","Delta","TX9448","$611.07","2.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX9449","$460.46","4.4h"
"JFK (New York)","Lubbock","Southwest","TX9450","$602.88","2.1h"
"LAX (Los Angeles)","Garland","American Airlines","TX9451","$152.00","4.5h"
"ORD (Chicago)","Irving","United","TX9452","$596.00","4.1h"
"ATL (Atlanta)","Amarillo","Delta","TX9453","$597.45","2.2h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9454","$539.27","4.3h"
"JFK (New York)","Brownsville","Southwest","TX9455","$246.56","3.4h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9456","$340.45","2.3h"
"ORD (Chicago)","Frisco","United","TX9457","$425.21","2.0h"
"ATL (Atlanta)","Pasadena","Delta","TX9458","$505.61","2.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9459","$345.27","4.9h"
"JFK (New York)","Austin","Southwest","TX9460","$436.32","2.6h"
"LAX (Los Angeles)","Houston","American Airlines","TX9461","$175.08","2.3h"
"ORD (Chicago)","Dallas","United","TX9462","$228.14","2.6h"
"ATL (Atlanta)","San Antonio","Delta","TX9463","$588.83","3.7h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9464","$435.27","3.6h"
"JFK (New York)","El Paso","Southwest","TX9465","$366.08","3.7h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9466","$228.12","3.3h"
"ORD (Chicago)","Corpus Christi","United","TX9467","$178.80","2.9h"
"ATL (Atlanta)","Plano","Delta","TX9468","$566.44","3.8h"
"SFO (San Francisco)","Laredo","JetBlue","TX9469","$258.68","3.0h"
"JFK (New York)","Lubbock","Southwest","TX9470","$243.23","3.7h"
"LAX (Los Angeles)","Garland","American Airlines","TX9471","$192.63","2.6h"
"ORD (Chicago)","Irving","United","TX9472","$420.44","3.1h"
"ATL (Atlanta)","Amarillo","Delta","TX9473","$210.54","4.2h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9474","$478.87","2.3h"
"JFK (New York)","Brownsville","Southwest","TX9475","$449.29","2.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9476","$278.45","4.8h"
"ORD (Chicago)","Frisco","United","TX9477","$219.56","3.7h"
"ATL (Atlanta)","Pasadena","Delta","TX9478","$200.17","3.9h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9479","$413.31","2.4h"
"JFK (New York)","Austin","Southwest","TX9480","$488.25","4.5h"
"LAX (Los Angeles)","Houston","American Airlines","TX9481","$501.27","3.4h"
"ORD (Chicago)","Dallas","United","TX9482","$178.17","2.4h"
"ATL (Atlanta)","San Antonio","Delta","TX9483","$156.51","4.0h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9484","$454.11","5.0h"
"JFK (New York)","El Paso","Southwest","TX9485","$192.98","4.9h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9486","$366.84","2.5h"
"ORD (Chicago)","Corpus Christi","United","TX9487","$157.28","4.0h"
"ATL (Atlanta)","Plano","Delta","TX9488","$612.19","3.2h"
"SFO (San Francisco)","Laredo","JetBlue","TX9489","$485.49","2.3h"
"JFK (New York)","Lubbock","Southwest","TX9490","$353.09","2.5h"
"LAX (Los Angeles)","Garland","American Airlines","TX9491","$358.66","3.2h"
"ORD (Chicago)","Irving","United","TX9492","$472.89","2.9h"
"ATL (Atlanta)","Amarillo","Delta","TX9493","$236.11","3.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9494","$281.47","2.4h"
"JFK (New York)","Brownsville","Southwest","TX9495","$297.55","3.5h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9496","$526.41","2.6h"
"ORD (Chicago)","Frisco","United","TX9497","$191.65","2.7h"
"ATL (Atlanta)","Pasadena","Delta","TX9498","$516.76","2.3h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9499","$574.88","4.3h"
"JFK (New York)","Austin","Southwest","TX9500","$255.93","3.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX9501","$554.18","2.6h"
"ORD (Chicago)","Dallas","United","TX9502","$374.94","4.2h"
"ATL (Atlanta)","San Antonio","Delta","TX9503","$484.87","3.2h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9504","$432.44","3.9h"
"JFK (New York)","El Paso","Southwest","TX9505","$608.77","5.0h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9506","$327.50","4.1h"
"ORD (Chicago)","Corpus Christi","United","TX9507","$226.43","2.6h"
"ATL (Atlanta)","Plano","Delta","TX9508","$533.51","3.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX9509","$252.14","4.4h"
"JFK (New York)","Lubbock","Southwest","TX9510","$360.26","2.3h"
"LAX (Los Angeles)","Garland","American Airlines","TX9511","$152.78","2.6h"
"ORD (Chicago)","Irving","United","TX9512","$198.76","3.7h"
"ATL (Atlanta)","Amarillo","Delta","TX9513","$508.07","3.6h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9514","$461.27","3.7h"
"JFK (New York)","Brownsville","Southwest","TX9515","$210.86","4.5h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9516","$555.01","2.7h"
"ORD (Chicago)","Frisco","United","TX9517","$230.81","3.9h"
"ATL (Atlanta)","Pasadena","Delta","TX9518","$417.89","3.5h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9519","$364.84","2.5h"
"JFK (New York)","Austin","Southwest","TX9520","$354.22","3.3h"
"LAX (Los Angeles)","Houston","American Airlines","TX9521","$150.95","3.0h"
"ORD (Chicago)","Dallas","United","TX9522","$597.76","2.9h"
"ATL (Atlanta)","San Antonio","Delta","TX9523","$545.03","2.2h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9524","$526.74","2.2h"
"JFK (New York)","El Paso","Southwest","TX9525","$264.33","4.1h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9526","$165.16","4.6h"
"ORD (Chicago)","Corpus Christi","United","TX9527","$347.22","2.4h"
"ATL (Atlanta)","Plano","Delta","TX9528","$444.78","4.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX9529","$383.89","2.6h"
"JFK (New York)","Lubbock","Southwest","TX9530","$500.32","3.0h"
"LAX (Los Angeles)","Garland","American Airlines","TX9531","$336.60","3.1h"
"ORD (Chicago)","Irving","United","TX9532","$284.09","3.9h"
"ATL (Atlanta)","Amarillo","Delta","TX9533","$295.92","4.6h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9534","$418.59","2.7h"
"JFK (New York)","Brownsville","Southwest","TX9535","$601.49","3.5h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9536","$152.85","4.3h"
"ORD (Chicago)","Frisco","United","TX9537","$222.10","4.8h"
"ATL (Atlanta)","Pasadena","Delta","TX9538","$449.31","3.9h"
"SFO (San Francisco)","Mesquite","JetBlue","TX9539","$338.04","3.2h"
"JFK (New York)","Austin","Southwest","TX9540","$465.71","4.2h"
"LAX (Los Angeles)","Houston","American Airlines","TX9541","$208.92","2.8h"
"ORD (Chicago)","Dallas","United","TX9542","$227.51","2.6h"
"ATL (Atlanta)","San Antonio","Delta","TX9543","$509.83","3.9h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX9544","$489.68","4.3h"
"JFK (New York)","El Paso","Southwest","TX9545","$581.13","4.5h"
"LAX (Los Angeles)","Arlington","American Airlines","TX9546","$414.52","3.9h"
"ORD (Chicago)","Corpus Christi","United","TX9547","$301.92","4.2h"
"ATL (Atlanta)","Plano","Delta","TX9548","$589.58","2.8h"
"SFO (San Francisco)","Laredo","JetBlue","TX9549","$390.89","2.9h"
"JFK (New York)","Lubbock","Southwest","TX9550","$408.93","3.7h"
"LAX (Los Angeles)","Garland","American Airlines","TX9551","$256.70","2.5h"
"ORD (Chicago)","Irving","United","TX9552","$570.66","3.7h"
"ATL (Atlanta)","Amarillo","Delta","TX9553","$370.34","4.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX9554","$351.23","2.1h"
"JFK (New York)","Brownsville","Southwest","TX9555","$265.11","3.1h"
"LAX (Los Angeles)","McKinney","American Airlines","TX9556","$645.82","4.7h"
"ORD (Chicago)","Frisco","United","TX9557","$405.41","3.9h"
